phi,Re,"Cd,meas"
0.79,4423.2571,0.935
0.661,4768.0067,1.843
0.549,5212.8367,1.566
0.837,6534.9714,1.464
0.999,6548.966,1.265
0.992,7160.9495,1.488
0.662,7270.4604,1.772
0.661,7680.2468,2.095
0.57,8240.797,1.621
0.421,8594.8375,1.195
0.812,8736.9701,1.656
0.686,8778.9001,1.575
0.626,8882.9889,1.952
0.74,9821.6668,1.725
0.677,12.3559,6.707
0.762,16.6048,6.19
0.801,25.032,4.358
0.806,30.6697,3.629
0.792,36.518,3.839
0.768,43.3092,3.639
0.742,48.3251,3.654
0.719,53.1434,3.626
0.677,69.0343,2.978
0.762,108.2153,2.02
0.801,173.3182,1.26
0.806,207.5647,1.098
0.792,217.9606,1.494
0.768,213.6225,2.073
0.742,241.6645,2.025
0.719,233.8502,2.595
0.677,152.0864,2.614
0.762,238.8102,1.767
0.801,340.9722,1.387
0.806,412.7233,1.183
0.792,459.7274,1.43
0.768,505.9954,1.574
0.742,528.4922,1.804
0.719,572.2932,1.846
0.742,9.0197,6.713
0.784,13.5716,6.671
0.802,22.9332,4.154
0.806,30.3069,3.716
0.803,28.66,5.984
0.791,49.5727,3.125
0.774,41.1441,6.533
0.762,63.9636,3.337
0.742,52.4177,2.755
0.784,97.8064,1.78
0.802,151.7441,1.315
0.806,206.6099,1.108
0.803,263.6118,0.98
0.791,295.134,1.222
0.774,328.2058,1.423
0.762,340.7958,1.629
0.742,145.8281,1.516
0.784,222.6404,1.464
0.802,332.2308,1.169
0.806,412.4846,1.185
0.803,489.5925,1.211
0.791,557.3614,1.46
0.774,601.647,1.804
0.762,664.1153,1.828
0.723,0.3617,108.32
0.881,0.3507,91.721
0.856,0.4834,67.172
0.931,0.39,73.75
0.779,0.8502,36.611
0.669,0.4551,90.204
0.836,0.4978,69.222
0.787,0.4861,76.048
0.855,0.5466,61.985
0.815,0.288,120.053
0.86,0.725,43.82
0.9,0.3899,76.699
0.838,0.2146,142.778
0.855,0.0794,402.717
0.967,0.094,283.312
0.811,0.1275,232.077
0.813,0.2856,129.952
0.807,0.2626,113.965
0.7,0.1445,266.032
0.83,0.0726,438.046
